[2018-06-03 21:17:39,143]-[log.py]-INFO:点击“提交”按钮
[2018-06-03 21:17:39,722]-[log.py]-INFO:退出“后台管理”框架
[2018-06-03 21:17:42,827]-[log.py]-INFO:进入“后台管理”框架
[2018-06-03 21:17:43,316]-[log.py]-INFO:成功获取到成员列表页面的所有用户名
[2018-06-03 21:17:43,721]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-03 21:17:43,733]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-03 21:17:43,737]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-03 21:17:43,754]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-03 21:17:43,758]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-03 21:17:44,045]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-03 21:17:47,563]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-03 21:17:47,973]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-03 21:17:50,726]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-03 21:17:55,464]-[log.py]-INFO:输入“用户名”
[2018-06-03 21:17:55,708]-[log.py]-INFO:输入“真实姓名”
[2018-06-03 21:17:55,931]-[log.py]-INFO:性别选择“女”
[2018-06-03 21:17:56,165]-[log.py]-INFO:角色选择“销售”
[2018-06-03 21:17:56,432]-[log.py]-INFO:输入密码
[2018-06-03 21:17:56,687]-[log.py]-INFO:再次输入密码
[2018-06-03 21:17:57,069]-[log.py]-INFO:输入邮箱
[2018-06-03 21:17:57,334]-[log.py]-INFO:点击“提交”按钮
[2018-06-03 21:17:57,863]-[log.py]-INFO:退出“后台管理”框架
[2018-06-03 21:18:00,930]-[log.py]-INFO:进入“后台管理”框架
[2018-06-03 21:18:01,394]-[log.py]-INFO:成功获取到成员列表页面的所有用户名
[2018-06-03 21:18:01,816]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-03 21:18:01,829]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-03 21:18:01,833]-[log.py]-INFO:成功获取到ranzhi.sys_user表字段account
[2018-06-03 21:18:01,851]-[log.py]-INFO:成功连接上数据库ranzhi.sys_user
[2018-06-03 21:18:01,854]-[log.py]-INFO:成功获取到sys_user表account用户名字段值
[2018-06-03 21:20:50,566]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-03 21:20:51,366]-[log.py]-INFO:成功选择简体中文
[2018-06-03 21:20:55,010]-[log.py]-INFO:输入用户名
[2018-06-03 21:20:55,298]-[log.py]-INFO:输入密码
[2018-06-03 21:20:55,483]-[log.py]-INFO:点击“保持登录”
[2018-06-03 21:20:55,695]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 21:21:01,621]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-03 21:21:05,203]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-03 21:21:05,560]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-03 21:21:08,388]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-03 21:21:13,235]-[log.py]-INFO:输入“用户名”
[2018-06-03 21:21:13,534]-[log.py]-INFO:输入“真实姓名”
[2018-06-03 21:21:13,855]-[log.py]-INFO:性别选择“女”
[2018-06-03 21:21:14,204]-[log.py]-INFO:部门选择“销售”
[2018-06-03 21:21:14,539]-[log.py]-INFO:角色选择“销售”
[2018-06-03 21:21:14,970]-[log.py]-INFO:输入密码
[2018-06-03 21:21:15,303]-[log.py]-INFO:再次输入密码
[2018-06-03 21:21:15,728]-[log.py]-INFO:输入邮箱
[2018-06-03 21:21:16,073]-[log.py]-INFO:点击“提交”按钮
[2018-06-03 21:21:16,542]-[log.py]-INFO:退出“后台管理”框架
[2018-06-03 21:21:19,608]-[log.py]-INFO:进入“后台管理”框架
[2018-06-03 21:21:20,111]-[log.py]-INFO:成功获取到成员列表页面的所有用户名
[2018-06-03 21:21:20,483]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-03 22:11:41,185]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-03 22:11:42,064]-[log.py]-INFO:成功选择简体中文
[2018-06-03 22:11:45,738]-[log.py]-INFO:输入用户名
[2018-06-03 22:11:46,012]-[log.py]-INFO:输入密码
[2018-06-03 22:11:46,177]-[log.py]-INFO:点击“保持登录”
[2018-06-03 22:11:46,371]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 22:11:52,244]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-03 22:11:55,863]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-03 22:11:56,179]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-03 22:11:58,926]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-03 22:12:03,826]-[log.py]-INFO:输入“用户名”
[2018-06-03 22:12:04,099]-[log.py]-INFO:输入“真实姓名”
[2018-06-03 22:12:04,382]-[log.py]-INFO:性别选择“女”
[2018-06-03 22:12:04,622]-[log.py]-INFO:部门选择“销售”
[2018-06-03 22:12:04,912]-[log.py]-INFO:角色选择“销售”
[2018-06-03 22:12:05,213]-[log.py]-INFO:输入密码
[2018-06-03 22:12:05,523]-[log.py]-INFO:再次输入密码
[2018-06-03 22:12:05,929]-[log.py]-INFO:输入邮箱
[2018-06-03 22:12:06,309]-[log.py]-INFO:点击“提交”按钮
[2018-06-03 22:12:06,780]-[log.py]-INFO:退出“后台管理”框架
[2018-06-03 22:12:09,882]-[log.py]-INFO:进入“后台管理”框架
[2018-06-03 22:12:10,364]-[log.py]-INFO:成功获取到成员列表页面的所有用户名
[2018-06-03 22:12:10,821]-[log.py]-INFO:成功退出“后台管理”框架
[2018-06-03 22:13:55,272]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-03 22:13:56,204]-[log.py]-INFO:成功选择简体中文
[2018-06-03 22:13:59,810]-[log.py]-INFO:输入用户名
[2018-06-03 22:14:00,077]-[log.py]-INFO:输入密码
[2018-06-03 22:14:00,251]-[log.py]-INFO:点击“保持登录”
[2018-06-03 22:14:00,447]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 22:14:06,278]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-03 22:14:09,959]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-03 22:14:10,213]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-03 22:14:13,062]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-03 22:14:17,980]-[log.py]-INFO:输入“用户名”
[2018-06-03 22:14:18,282]-[log.py]-INFO:输入“真实姓名”
[2018-06-03 22:14:18,582]-[log.py]-INFO:性别选择“女”
[2018-06-03 22:14:18,826]-[log.py]-INFO:部门选择“销售”
[2018-06-03 22:14:19,097]-[log.py]-INFO:角色选择“销售”
[2018-06-03 22:14:19,464]-[log.py]-INFO:输入密码
[2018-06-03 22:14:19,763]-[log.py]-INFO:再次输入密码
[2018-06-03 22:14:20,158]-[log.py]-INFO:输入邮箱
[2018-06-03 22:14:20,526]-[log.py]-INFO:点击“提交”按钮
[2018-06-03 22:14:21,040]-[log.py]-INFO:退出“后台管理”框架
[2018-06-03 22:16:52,053]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-03 22:16:52,990]-[log.py]-INFO:成功选择简体中文
[2018-06-03 22:16:56,618]-[log.py]-INFO:输入用户名
[2018-06-03 22:16:56,877]-[log.py]-INFO:输入密码
[2018-06-03 22:16:57,044]-[log.py]-INFO:点击“保持登录”
[2018-06-03 22:16:57,242]-[log.py]-INFO:点击“登录”按钮
[2018-06-03 22:17:02,993]-[log.py]-INFO:成功点击“后台管理”按钮
[2018-06-03 22:17:06,561]-[log.py]-INFO:成功进入“后台管理”框架
[2018-06-03 22:17:06,861]-[log.py]-INFO:成功点击“组织”按钮
[2018-06-03 22:17:09,716]-[log.py]-INFO:成功点击“新增用户”按钮
[2018-06-03 22:17:14,526]-[log.py]-INFO:输入“用户名”
[2018-06-03 22:17:14,795]-[log.py]-INFO:输入“真实姓名”
[2018-06-03 22:17:15,094]-[log.py]-INFO:性别选择“女”
[2018-06-03 22:17:15,344]-[log.py]-INFO:部门选择“销售”
[2018-06-03 22:17:15,627]-[log.py]-INFO:角色选择“销售”
[2018-06-03 22:17:15,930]-[log.py]-INFO:输入密码
[2018-06-03 22:17:16,196]-[log.py]-INFO:再次输入密码
[2018-06-03 22:17:16,578]-[log.py]-INFO:输入邮箱
[2018-06-03 22:17:16,894]-[log.py]-INFO:点击“提交”按钮
[2018-06-03 22:17:17,396]-[log.py]-INFO:退出“后台管理”框架
[2018-06-03 22:17:20,506]-[log.py]-INFO:进入“后台管理”框架
[2018-06-03 22:23:55,969]-[log.py]-INFO:开始点击登录界面的语言选择
[2018-06-03 22:23:56,845]-[log.py]-INFO:成功选择简体中文
[2018-06-03 22:24:00,627]-[log.py]-INFO:输入用户名
